MinTemp,MaxTemp,Precipitation,ReferenceET,Date
27.59,40.43,0.01,,1982-04-14
28.72,34.62,1.09,,1982-04-15
26.76,39.71,0.0,,1982-04-16
25.88,41.34,0.01,,1982-04-17
26.8,39.14,0.0,,1982-04-18
25.1,39.72,0.0,,1982-04-19
25.9,40.85,0.1,,1982-04-20
28.84,37.83,0.08,,1982-04-21
28.78,37.11,0.02,,1982-04-22
27.16,40.11,0.04,,1982-04-23
29.15,40.11,0.1,,1982-04-24
28.1,34.57,0.09,,1982-04-25
27.34,36.11,1.78,,1982-04-26
26.96,37.25,2.67,,1982-04-27
26.68,39.17,0.43,,1982-04-28
26.27,40.57,0.02,,1982-04-29
24.63,39.93,0.0,,1982-04-30
25.54,39.68,0.55,,1982-05-01
27.54,36.98,0.47,,1982-05-02
25.84,38.5,0.17,,1982-05-03
26.51,37.57,0.01,,1982-05-04
26.93,41.44,0.0,,1982-05-05
25.21,41.98,0.0,,1982-05-06
28.23,34.62,0.25,,1982-05-07
26.67,36.64,0.01,,1982-05-08
25.27,30.48,0.5,,1982-05-09
24.12,37.99,1.01,,1982-05-10
26.36,40.51,1.15,,1982-05-11
27.92,40.9,0.38,,1982-05-12
26.85,38.5,1.82,,1982-05-13
27.02,39.24,0.74,,1982-05-14
28.27,38.98,2.79,,1982-05-15
27.58,36.45,1.36,,1982-05-16
27.4,35.03,3.11,,1982-05-17
26.85,35.28,2.86,,1982-05-18
26.49,35.98,0.86,,1982-05-19
26.31,34.18,3.18,,1982-05-20
24.8,38.42,0.37,,1982-05-21
26.26,40.22,0.89,,1982-05-22
27.54,33.75,1.16,,1982-05-23
25.52,35.07,0.55,,1982-05-24
26.51,37.27,1.22,,1982-05-25
27.22,38.55,1.66,,1982-05-26
27.34,32.68,1.5,,1982-05-27
26.18,35.03,0.75,,1982-05-28
26.74,37.4,1.17,,1982-05-29
28.53,34.95,1.19,,1982-05-30
27.06,38.03,3.1,,1982-05-31
27.98,37.11,3.6,,1982-06-01
26.73,33.02,2.1,,1982-06-02
25.91,32.77,0.72,,1982-06-03
25.73,34.33,2.76,,1982-06-04
26.73,35.36,1.33,,1982-06-05
26.19,37.17,0.28,,1982-06-06
27.52,37.46,0.37,,1982-06-07
26.99,38.21,1.24,,1982-06-08
28.4,32.39,0.68,,1982-06-09
26.27,36.74,0.24,,1982-06-10
26.34,38.72,0.2,,1982-06-11
26.62,39.36,0.28,,1982-06-12
27.06,39.74,0.4,,1982-06-13
27.82,36.78,0.36,,1982-06-14
26.93,37.98,0.58,,1982-06-15
27.79,35.27,1.63,,1982-06-16
26.99,33.45,0.69,,1982-06-17
25.31,38.41,0.64,,1982-06-18
24.86,38.26,1.94,,1982-06-19
26.28,38.99,1.11,,1982-06-20
26.85,35.09,1.26,,1982-06-21
25.14,33.82,1.53,,1982-06-22
24.26,35.6,1.47,,1982-06-23
26.28,35.93,3.02,,1982-06-24
26.15,36.68,3.7,,1982-06-25
25.97,32.49,8.88,,1982-06-26
24.16,31.76,16.41,,1982-06-27
23.99,34.49,2.23,,1982-06-28
24.02,34.82,3.21,,1982-06-29
24.66,35.23,1.06,,1982-06-30
25.64,37.25,2.09,,1982-07-01
25.16,35.52,3.63,,1982-07-02
24.29,36.12,2.73,,1982-07-03
24.76,35.47,2.43,,1982-07-04
25.87,37.61,0.46,,1982-07-05
26.07,37.06,3.46,,1982-07-06
25.9,34.24,3.75,,1982-07-07
24.98,34.45,1.53,,1982-07-08
25.15,35.64,1.15,,1982-07-09
25.35,36.08,9.57,,1982-07-10
24.75,32.84,1.88,,1982-07-11
25.08,33.51,5.01,,1982-07-12
24.7,34.31,4.46,,1982-07-13
24.69,30.61,7.92,,1982-07-14
24.21,32.25,3.18,,1982-07-15
24.67,33.23,3.26,,1982-07-16
23.75,34.83,2.43,,1982-07-17
24.46,32.38,2.83,,1982-07-18
24.41,31.15,0.82,,1982-07-19
24.0,33.94,1.9,,1982-07-20
24.04,36.23,1.3,,1982-07-21
23.66,32.89,6.42,,1982-07-22
21.78,32.1,2.76,,1982-07-23
23.41,33.34,3.3,,1982-07-24
23.44,32.63,5.9,,1982-07-25
23.87,33.56,3.51,,1982-07-26
24.44,35.85,1.68,,1982-07-27
24.23,33.98,7.92,,1982-07-28
23.17,36.06,2.12,,1982-07-29
24.58,34.53,3.81,,1982-07-30
25.15,32.06,2.69,,1982-07-31
23.62,30.75,24.37,,1982-08-01
22.68,31.52,1.63,,1982-08-02
23.81,31.05,3.3,,1982-08-03
23.16,32.56,2.8,,1982-08-04
23.42,31.02,8.67,,1982-08-05
23.07,30.31,10.12,,1982-08-06
23.19,28.87,10.58,,1982-08-07
22.35,30.11,9.0,,1982-08-08
22.99,27.7,5.69,,1982-08-09
22.62,29.6,3.52,,1982-08-10
22.33,28.51,9.02,,1982-08-11
21.83,32.44,2.87,,1982-08-12
23.11,33.02,1.98,,1982-08-13
23.16,32.48,2.06,,1982-08-14
22.39,32.08,1.28,,1982-08-15
24.45,34.26,0.88,,1982-08-16
23.56,35.25,2.26,,1982-08-17
24.17,32.25,2.21,,1982-08-18
23.45,30.51,14.54,,1982-08-19
23.23,30.98,8.87,,1982-08-20
22.56,30.97,7.79,,1982-08-21
22.85,30.56,5.25,,1982-08-22
22.59,31.84,6.73,,1982-08-23
23.49,31.08,4.37,,1982-08-24
23.08,30.38,4.48,,1982-08-25
