Date,T2M_MAX,T2M_MIN,T2M,T2MDEW,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,PS,ReferenceET,Ra,EstimatedElevation_m
1981-05-25,39.66,28.66,33.8,18.98,0.2,,4.55,98.08,,38.173033537233664,258.1077831204352
1981-05-26,34.72,27.54,30.55,22.55,21.36,,4.1,98.14,,38.16150976825867,258.1077831204352
1981-05-27,34.23,26.11,30.12,21.67,0.91,,2.6,98.26,,38.149909786317146,258.1077831204352
1981-05-28,36.18,26.15,30.76,20.98,10.43,,2.56,98.28,,38.138272566091025,258.1077831204352
1981-05-29,35.07,25.49,30.28,21.9,9.22,,2.26,98.24,,38.12663599620597,258.1077831204352
1981-05-30,33.97,25.16,29.8,23.36,14.34,,2.98,98.17,,38.11503683182007,258.1077831204352
1981-05-31,36.15,25.49,30.87,21.72,0.03,,3.09,98.19,,38.10351064902613,258.1077831204352
1981-06-01,39.58,25.64,32.73,18.73,0.25,,2.3,98.19,,38.092091801094625,258.1077831204352
1981-06-02,41.15,25.86,34.17,18.21,0.25,,2.36,98.17,,38.080813376581325,258.1077831204352
1981-06-03,41.25,27.49,34.33,18.79,0.17,,3.53,98.18,,38.06970715932114,258.1077831204352
1981-06-04,40.87,27.24,34.46,19.14,0.46,,3.34,98.17,,38.05880359032745,258.1077831204352
1981-06-05,40.93,27.91,34.47,18.95,0.0,,3.3,98.15,,38.04813173161371,258.1077831204352
1981-06-06,42.1,27.79,34.83,18.76,0.0,,3.21,98.04,,38.03771923195221,258.1077831204352
1981-06-07,41.03,27.08,34.2,19.8,0.0,,3.81,98.11,,38.02759229458274,258.1077831204352
1981-06-08,38.24,28.1,32.89,19.96,0.0,,3.72,98.2,,38.01777564688207,258.1077831204352
1981-06-09,38.44,27.52,32.85,19.15,0.0,,3.94,98.17,,38.008292512003685,258.1077831204352
1981-06-10,39.27,27.47,33.2,19.21,1.19,,4.84,98.12,,37.999164582495126,258.1077831204352
1981-06-11,36.31,26.43,31.21,20.0,0.42,,4.22,98.5,,37.99041199589957,258.1077831204352
1981-06-12,35.44,25.91,30.92,17.38,0.07,,2.0,98.57,,37.9820533123462,258.1077831204352
1981-06-13,39.74,27.7,33.75,15.3,0.36,,2.72,98.29,,37.97410549413347,258.1077831204352
1981-06-14,39.47,27.33,33.47,18.65,0.45,,5.6,98.16,,37.966583887307706,258.1077831204352
1981-06-15,35.69,27.16,31.05,19.92,1.02,,5.54,98.2,,37.95950220523894,258.1077831204352
1981-06-16,35.79,25.51,30.94,20.31,1.71,,3.18,98.24,,37.9528725141948,258.1077831204352
